Genes,E-M-DEAE-E1,E-M-DEAE-E2,E-M-DEAE-FT_G,E-M-DEAE-E1_G,E-TFF1_R,E-TFF1_M
GP9,5.5367,1.1294,8.5761,0.9025,0.9029,3.9897
MMP9,0.7356,0.112,1.1708,0.0145,1.3061,0.3971
HNRNPL,0.1666,0.1284,0.2856,0.119,0.3333,0.1433
DARS1,1.0123,0.9427,1.4379,0.9186,1.5969,1.1779
JUP,1.0664,6.8758,1.6741,8.2868,1.4516,2.6468
CPA1,0.6125,0.7377,0.2597,1.3504,0.7912,0.3208
FABP4,0.4498,0.1841,0.5089,0.3049,1.9499,0.285
GLUL,1.058,0.9113,1.0567,0.0539,1.0487,0.4222
AKR1B1,0.5251,1.5495,0.6353,2.4745,0.6547,0.9996
ANPEP,13.225,37.624,11.7391,32.0102,6.8368,13.5361
PVR,10.8886,13.6563,9.4691,15.0336,6.8519,10.1517
RAC2,2.4913,2.8122,3.075,3.8193,1.3597,2.4019
CPN1,9.377,0.3257,7.8934,0.1032,10.2003,3.9401
GSPT1,0.6273,0.9612,0.7268,1.0592,0.8516,0.7957
IFNGR1,0.305,0.4578,0.1745,0.4077,0.3521,0.2369
ARSA,0.1259,0.1122,0.2247,0.0191,0.1547,0.155
B4GALT1,0.9344,0.1575,1.0001,0.1557,0.1959,0.7568
EZR,0.423,5.4513,0.6425,9.9398,0.6094,2.8709
UCHL3,0.262,0.5283,0.1495,0.895,0.6727,0.3185
AREG,0.5983,0.2666,0.4646,0.6277,0.3325,0.489
CD46,1.5205,12.5672,1.7789,9.6528,1.6374,4.1621
NME1,3.133,10.237,3.4389,16.8624,3.6626,5.8948
NQO1,3.1917,2.9834,2.6879,3.4917,1.8761,2.7471
VEGFA,0.3056,0.0886,0.8543,0.1049,0.4314,0.0968
RPS2,3.0816,2.0231,3.8289,2.6395,1.4641,2.736
DSP,1.1752,0.5715,2.1091,0.7635,0.6347,0.4107
RPA2,0.3251,0.0642,0.1734,0.0934,0.18,0.0983
TIMP2,0.1656,0.0732,0.1805,0.0344,0.1666,0.0806
CD44,8.245,83.538,7.9586,102.4145,12.829,40.1908
NQO2,0.2344,0.1047,0.5058,0.2241,0.2435,0.2309
SELP,2.4312,0.1311,2.2679,0.0963,3.5845,0.934
ACAN,1.1352,1.2382,1.0195,1.4017,1.6564,0.9226
SPN,1.0898,0.2793,1.4797,0.259,0.2064,0.576
CBR1,3.2317,2.8162,2.53,3.2416,2.1554,2.6625
ANK1,0.203,0.1169,0.1784,0.0674,0.2224,0.1034
PDGFRA,1.2805,1.4779,1.1255,1.2184,2.1898,0.4273
GLB1,0.4738,0.0988,0.4047,0.1285,0.6797,0.5124
PECAM1,3.5208,0.522,3.9985,0.2565,0.8057,1.8234
NCK1,0.323,0.2082,0.2163,0.2997,0.3771,0.184
POR,0.8894,0.4772,0.2567,0.5081,0.4034,0.282
EPB42,0.3105,0.1898,0.2913,0.0529,0.2733,0.1763
SELE,0.3911,0.3328,0.4151,0.3004,0.5254,0.2005
FER,0.922,0.2109,0.7623,0.1503,0.1241,0.1104
ATP2A2,0.5567,2.6638,0.4032,2.4178,0.4388,1.1534
CD36,11.3888,1.7062,13.8002,0.9606,2.8089,5.9136
CPE,0.152,0.0926,0.3289,0.043,0.1619,0.217
FAH,4.0662,0.7609,3.637,1.5596,1.3334,2.2303
STMN1,0.4257,0.6756,0.307,1.2798,0.5948,0.2518
YBX3,0.3357,0.1513,0.2459,0.1238,0.107,0.1303
NAGA,0.12,0.0648,0.2011,0.0259,0.0766,0.0837
HSPA6,5.2997,15.5322,7.2493,15.0202,4.9394,9.277
RHOQ,0.2892,0.5132,0.2504,0.3739,0.2345,0.2418
HMGA1,0.2913,0.1983,0.1821,0.2181,0.2955,0.0249
GOT1,4.3834,4.0626,3.4463,4.5658,2.174,2.8078
IFNAR1,0.1564,0.0819,0.1801,0.0688,0.2437,0.0857
PRKCA,1.3476,1.7649,1.009,1.6637,1.3409,0.8721
ITGA2,5.2421,39.1626,5.5885,36.3186,3.9821,15.4508
GJA1,0.8289,4.007,0.9606,3.1747,0.4705,1.597
PRKACA,0.2844,0.2931,0.1363,0.2979,0.3944,0.2808
CAPN2,1.0695,3.7234,0.9678,3.9903,2.058,2.0091
DES,0.4084,0.1627,0.2855,0.04,0.2377,0.0951
CTPS1,1.0268,1.1993,1.0027,1.3455,1.3472,1.1386
ENG,1.7957,6.3924,1.4307,6.3558,1.4383,2.4087
PFKL,1.3757,1.1647,1.3109,1.3035,1.1133,1.4629
GM2A,0.3833,0.1911,0.2409,0.1011,0.3999,0.2973
LGALS3,0.6104,1.6145,0.7749,2.4844,0.4182,0.7462
IGFBP3,0.5124,0.0609,0.6712,0.1349,1.2677,0.4015
FLT1,1.2693,0.7197,1.4724,0.4824,5.4844,1.7556
PSMC3,1.3156,0.9225,1.3003,1.1217,1.0023,1.2699
TCP1,1.081,1.6962,1.3036,1.9649,1.5994,1.4304
PTPN1,1.1083,1.3049,1.1392,1.132,0.7755,1.2392
ALOX12,1.1318,0.5289,0.9512,0.0888,0.869,0.5927
RPL35A,1.1328,0.9387,0.7382,0.9721,0.5795,0.7996
ITGB5,1.5956,10.0488,1.886,12.2507,1.545,4.8387
ARF4,5.7568,19.014,5.2364,18.1419,7.2582,10.4492
RPL7,0.212,1.4504,0.4107,1.4268,0.5302,1.0444
VCL,3.6317,4.6338,4.1296,5.3452,4.7064,3.4851
LBP,2.2952,1.6269,2.2412,0.9394,2.7513,2.0771
PTPRA,0.5423,2.3192,1.4107,2.0808,0.9899,0.9412
ITGB6,22.5882,76.409,28.6594,53.7294,12.2508,42.1707
RPL17,0.1432,0.5318,0.537,0.7005,0.1966,0.4487
PGAM1,3.7412,7.5925,2.8379,10.1246,2.4043,4.4019
CDH2,1.9241,7.932,2.2292,7.5177,3.1813,3.9009
GNAZ,0.2818,0.2229,0.3423,0.0623,0.4906,0.2398
PLCG1,0.3068,0.2207,0.3368,0.1943,0.2817,0.1531
CD58,0.3617,1.4397,0.559,1.9828,0.1605,0.6698
VCAM1,0.7651,0.1059,0.6836,0.1899,1.282,0.3088
NCL,0.1437,0.1159,0.1692,0.2229,0.615,0.1818
HK1,0.7699,0.321,0.7694,0.2407,1.0315,0.5522
CD53,0.8464,0.2275,1.028,0.1251,0.1293,0.4236
GGT1,0.512,0.3656,1.0708,0.2833,0.2381,0.2589
TRIM21,0.1156,0.0966,0.1148,0.1317,0.3233,0.0966
EIF2AK2,0.9753,0.1502,0.0125,0.1497,0.3983,0.0794
SRM,1.4926,2.793,1.6237,3.2996,1.5271,2.3619
SLC9A1,0.1792,2.1329,0.2219,2.4539,0.4211,0.7789
ORM2,106.92,2.5576,77.7596,1.1434,38.8954,37.4866
CSNK2A2,0.228,0.1159,0.0607,0.1471,0.3331,0.0968
ITIH2,252.0302,85.8652,411.1243,7.9156,130.1097,173.0423
ITIH1,211.7358,18.1651,208.1223,1.6989,107.5359,92.2408
NFKB1,0.3756,0.1445,0.3243,0.1898,0.2133,0.2259
TYMP,2.1468,1.3655,2.0118,1.2802,1.9496,1.7063
ATP2B1,0.6647,6.2031,0.6583,6.2231,0.8055,2.0391
EIF2S2,0.2002,0.4788,0.4271,0.5832,0.5273,0.3325
ANXA7,2.0487,6.3715,2.3742,6.9477,0.8542,2.3252
BTF3,0.2551,0.0515,0.2191,0.1425,0.264,0.1182
RAB3A,0.4652,0.224,0.2389,0.2725,0.1727,0.1289
RAB3B,0.5692,2.2358,0.406,2.7817,0.3279,1.0342
RAB4A,0.1673,0.435,0.582,0.8074,0.6257,0.4715
RAB5A,5.8426,28.3061,7.9591,28.474,5.8008,11.9331
RAB6A,6.3325,10.2183,7.6617,9.5482,2.7113,6.9733
MX1,0.2073,0.228,0.138,0.3061,0.3656,0.2644
NPR2,0.4472,0.4613,0.8081,0.5064,0.2056,0.2607
PSMB1,2.0084,1.3798,2.5365,1.938,3.5319,1.3138
M6PR,0.2938,0.4284,0.4216,0.4982,0.7261,0.3221
LMNB1,0.2851,0.0217,0.2489,0.0296,0.1028,0.1194
ITGAL,0.0611,0.2184,0.7347,0.026,0.4174,0.02
PZP,6.302,0.211,4.8872,0.1267,6.9862,2.4479
OGN,1.6562,0.2214,1.4723,0.0403,0.4888,0.8483
IL11,0.2233,0.1079,0.1692,0.0292,0.2541,0.0837
CAST,0.3073,0.4907,0.1228,0.6443,0.1391,0.2776
IMPDH1,0.3658,0.0836,0.4064,0.1019,0.4377,0.2662
C4BPB,11.6345,0.4551,12.1825,0.1738,21.6118,5.7903
COL5A1,1.3578,3.3133,1.9722,3.0232,14.8984,4.3815
FLG,0.4322,0.2527,0.0472,0.0839,0.2316,0.1459
RASA1,0.2412,0.4912,1.1111,0.5145,0.5691,0.3684
PTMS,0.3046,0.5629,0.103,0.6666,0.5825,0.1389
CD247,0.1956,0.0455,0.0879,0.0251,0.2899,0.1105
GSTM3,2.0326,1.9644,2.2939,2.1783,1.397,1.8197
ATP6V1B2,2.2202,2.7286,1.9495,3.4075,3.3215,2.0207
ATP6V1C1,0.4234,0.4189,0.3944,0.4592,0.915,0.3034
CSRP1,2.0695,3.6534,1.3204,3.3229,1.7292,2.3297
FLNA,9.2071,5.5928,10.6858,5.4746,20.0384,7.0645
NF1,0.4277,0.4025,0.0788,0.3095,0.3293,0.2164
ACO1,0.3488,0.4789,0.5096,0.6205,0.6884,0.4368
S1PR1,0.0602,0.0711,0.132,0.1068,0.2315,0.0659
FPR1,0.2914,0.302,0.2029,0.2731,0.3207,0.0679
SYT1,1.1235,2.0469,1.1527,2.0501,1.3443,1.07
TNFAIP3,0.043,0.0636,0.1833,0.0673,0.2489,0.1688
KITLG,1.1862,0.2669,1.1187,0.3083,0.8209,1.2853
NT5E,11.3579,78.6297,13.3683,76.1975,12.1922,31.6967
TBXA2R,0.4676,0.3313,0.2772,0.3164,0.4093,0.1457
VDAC1,0.1661,0.232,0.0717,0.1617,0.3683,0.054
BGN,2.9486,20.4446,1.4266,36.4385,92.5032,67.6821
CD9,35.1717,23.4274,38.3573,19.2775,4.9707,25.0236
COMT,0.5219,0.8129,0.31,0.9382,0.4378,0.5133
TGM2,1.1467,7.997,1.8542,8.0336,2.3342,3.4857
OSBP,0.3934,0.3408,0.094,0.409,0.2888,0.3453
PCMT1,4.3953,2.7876,3.6076,2.9008,2.3932,2.812
GART,0.4158,0.9995,0.4533,1.0464,0.5232,0.7055
TNXB,1.2046,0.0486,0.9967,0.021,0.5647,0.5275
PAICS,0.4362,1.4217,0.4655,1.5396,1.4564,0.714
IDS,0.3303,0.2615,0.3854,0.2722,0.2061,0.2142
SCP2,0.2821,0.1444,0.1665,0.1697,0.2922,0.2082
UBA1,2.4257,3.6484,2.1394,4.0296,3.29,2.8378
GPX3,3.5758,0.3347,3.2872,0.3283,1.8673,1.8888
ENPP1,0.2498,4.1535,0.4556,4.1094,0.9016,1.2883
SPRR1B;SPRR1A,0.3271,0.108,0.4775,0.1385,0.3538,0.1295
HNRNPA2B1,0.5036,0.4007,0.4247,0.2996,0.4094,0.3819
CBL,0.7245,0.252,0.6843,0.305,0.6652,0.5018
PRKACB,1.3041,1.0499,1.2326,1.2862,1.0168,1.4194
CPN2,85.4062,2.9446,63.2184,1.5505,51.1319,34.377
PROZ,0.6442,0.1318,0.7137,0.0215,0.9971,0.304
IGHV1-2,5.956,0.4255,6.9439,0.1249,7.5352,2.4802
CES1,0.2485,0.1377,0.1113,0.2102,0.296,0.1447
FBLN1,8.3908,0.5268,4.9993,0.8185,4.2387,3.7582
PTGS1,0.2591,0.5218,0.3129,0.457,0.485,0.2169
ITGA6,9.7925,1.5172,11.1112,0.8955,1.37,5.1642
SFPQ,0.24,0.2724,0.1162,0.1262,0.3143,0.1582
TUBG1,0.1529,0.283,0.242,0.0757,0.2641,0.1321
PPIB,1.0381,3.0206,0.9404,4.1773,0.9989,1.7262
ME2,0.2284,0.0548,0.2229,0.0828,0.2488,0.054
WARS1,0.8787,1.7479,0.9994,2.142,0.9274,0.9115
RPS3,3.8731,2.2032,3.4223,2.3463,2.0194,2.5498
JAK1,0.3809,1.6751,0.5495,1.6207,0.4743,0.6998
PTPRB,0.8534,0.6054,0.9314,0.5565,0.7684,0.5457
PTPRE,0.465,0.1992,0.2675,0.1651,0.3512,0.2249
PTPRG,6.4702,1.0784,4.8198,0.8178,1.881,1.3573
PTPRZ1,1.3235,0.2203,1.0584,0.089,0.0407,0.6173
LORICRIN,0.4958,0.394,0.5914,0.3926,0.4337,0.4493
TNFSF4,0.3451,3.1025,0.7654,3.0328,0.4255,1.4887
AHCY,2.1255,2.6213,2.2087,2.5882,2.2169,2.053
CFL1,8.3153,27.0085,9.8042,25.6373,7.2265,11.9452
EIF4B,0.0917,0.1953,0.0736,0.518,0.297,0.2018
ATP2B4,1.3316,13.85,1.1454,14.108,1.9094,5.2915
DGKA,0.3356,0.4353,0.4505,0.4493,1.4579,0.3384
CPT2,0.2426,0.0858,0.153,0.0724,0.1112,0.0593
DTYMK,0.4606,0.3154,0.4255,0.2647,0.723,0.3799
RRM1,0.3917,0.1073,0.0895,0.1168,0.4121,0.0516
LAMA2,3.5471,0.4451,3.1536,0.1547,2.2827,1.2835
PRTN3,0.2417,0.0864,0.2572,0.0186,0.2743,0.1159
CHM,0.2617,0.1479,0.1925,0.1727,0.2938,0.1394
KDELR1;KDELR2,0.3149,1.3091,0.2379,0.4218,0.7134,0.2876
IL4R,0.4013,0.1681,0.1276,0.1903,0.3391,0.0666
EEF1B2,0.5352,1.2406,1.5452,1.9254,1.3432,1.3873
TBXAS1,56.9099,0.4173,43.7992,0.1431,75.8761,10.912
ACP1,0.9218,1.2555,0.8611,1.1406,0.5352,1.0572
ACAT1,0.3156,0.1922,0.1265,0.1137,0.2618,0.0911
TNC,3.0223,0.3573,3.5334,0.274,3.6212,1.5947
MYL9,1.8631,1.4882,1.2584,1.9307,1.9703,1.1982
GRK2,0.3217,0.2272,0.3265,0.153,0.3349,0.2175
EDNRA,0.3617,0.6953,0.3175,0.5978,0.3907,0.2446
F2R,0.1049,0.074,0.2432,0.1304,0.3406,0.1419
AZGP1,11.674,0.4871,15.6046,0.2188,8.9687,7.5691
MPST,0.971,0.3818,1.1834,0.5184,1.4302,0.9567
LAMA1,0.8948,0.1868,0.4969,0.023,0.5249,0.395
RPS12,1.2897,0.8829,1.2191,0.9302,0.6206,0.8514
FAS,0.3163,2.8569,0.3004,3.0275,0.4802,1.021
DNAJB1,0.1738,0.603,0.1552,0.6392,0.3242,0.388
DNAJB2,0.1459,0.4037,0.4161,0.3703,0.1143,0.2148
ATP5F1A,0.8872,1.3107,1.0553,0.0985,0.9346,0.2637
PSMA1,3.086,1.6806,3.7141,2.6835,3.0846,1.8468
PSMA2,2.0481,0.9212,2.7499,1.4248,2.7494,0.9526
PSMA3,2.6576,1.3379,3.1709,1.6292,3.0404,1.5304
PSMA4,2.3414,1.2598,2.4595,1.7541,3.326,1.0526
CD40,0.1933,0.3741,0.1695,0.3482,0.409,0.3924
ITGA3,7.6816,38.967,7.2365,32.4631,4.3485,15.5071
PTX3,24.6638,59.587,166.838,5.7095,7.5301,77.7533
MSN,2.4334,20.0196,2.9609,32.3183,3.627,12.2539
DDX6,0.5587,0.2435,0.3741,0.3255,0.3664,0.3119
RPL13,0.7452,2.2936,0.7259,2.4251,0.3816,1.1588
IVD,0.3374,0.1069,0.1319,0.0658,0.2277,0.1412
S100A4,1.9561,4.4407,2.4886,4.6364,2.4941,2.7945
MGAT1,0.4563,0.2227,0.6149,0.1417,0.2643,0.4427
PTBP1,0.7897,0.7799,0.7851,0.9125,0.8604,1.002
TARS1,0.9606,1.4959,0.6333,1.6275,1.3076,0.8638
VARS1,0.6996,0.4055,0.7122,0.4445,0.8595,0.6416
EEF1G,6.4311,3.6054,7.1293,4.1007,4.1226,5.2434
FKBP2,2.026,0.1407,2.5008,0.2646,0.6837,0.2562
MST1,0.3306,0.1263,0.1804,0.1178,0.2988,0.134
CNTFR,1.4497,0.1096,1.6717,0.025,0.7458,0.8974
ACVR2A,0.2446,0.0896,0.1693,0.1093,0.2969,0.129
STOM,20.885,14.0979,25.9676,13.0767,3.9431,15.1748
AK4,0.3073,0.0867,0.4511,0.1434,0.4194,0.2668
PON1,21.6249,2.8021,22.6073,1.7816,63.9018,13.2863
YWHAQ,1.1649,4.1618,1.6672,6.4129,1.0849,2.4232
MAPK3,1.6693,1.1301,1.3327,1.0996,0.7158,1.0253
MARK3,0.4392,0.4907,0.159,0.6651,0.5206,0.2531
ATP6V0C,0.5549,0.6742,0.3995,1.1164,0.4952,0.5475
DPP4,23.3273,17.8631,18.1276,21.5996,7.412,14.8913
RPL10,0.488,0.8962,0.9721,1.2201,0.6068,1.055
RPA1,1.8136,0.6239,2.0454,0.5761,0.9009,0.7993
APEX1,0.2162,0.1488,0.1673,0.0835,0.2875,0.0226
CD82,1.7182,4.1263,2.1089,2.154,0.4515,1.6102
CAD,0.44,0.412,0.5631,0.4238,0.5193,0.6232
CALR,0.6853,2.5212,2.8608,3.4314,6.2709,2.2132
MAP4,0.4836,0.5879,0.4584,0.795,0.8337,0.3682
CANX,0.1938,3.1213,0.1908,2.7166,0.5622,1.0778
CFP,2.295,0.1505,4.0885,0.2307,7.4994,1.9862
IL1R2,1.3975,0.1797,0.7792,0.0993,0.6344,0.4071
PIK3R1,0.2343,0.1,0.1042,0.0642,0.0851,0.0735
PSMB8,0.6162,0.3234,0.6874,0.1285,0.4666,0.513
PSMB9,0.5818,0.3801,0.5978,0.4045,0.9669,0.3417
PSMA5,2.5622,1.8458,3.892,2.8049,3.6349,1.9204
PSMB4,1.3378,0.8396,2.2663,1.5759,2.0653,1.0319
PSMB6,1.7284,1.0665,2.0454,1.362,1.734,0.5839
PSMB5,0.9625,0.7926,1.3687,1.149,1.4218,0.9441
GSTM2,1.093,0.3714,0.8321,0.5569,0.3966,0.4908
LOX,1.0353,0.1476,1.0861,0.1293,0.783,0.9347
MAPK1,1.6483,1.677,1.6344,1.8502,1.2174,1.4513
GCA,2.0878,0.4424,2.5756,0.4984,2.1417,1.0468
PTPRM,0.9361,0.503,0.496,0.2668,0.4645,0.3643
LAP3,1.1168,0.8102,0.9728,0.8939,0.8283,0.9249
TPP2,0.3936,0.3927,0.5623,0.4586,0.8843,0.5087
IMPA1,0.5775,0.3774,0.432,0.8011,0.1911,0.4635
CCN2,7.8029,0.7812,6.4689,0.7268,4.0586,4.006
EPHA2,1.5231,12.7247,1.8407,12.535,1.4155,4.7829
EPHB2,0.5624,1.9739,0.116,2.0426,1.3476,0.6406
PTPN6,0.4998,0.0861,0.6177,0.1405,0.5905,0.3027
SHC1,0.205,0.4099,0.2567,0.4277,0.6832,0.2733
MPG,0.1957,0.0189,0.0961,0.0862,0.3049,0.1107
CRABP2,0.0836,0.5501,0.2975,0.8214,0.3918,0.2655
TKT,0.738,4.1973,1.3945,6.0231,1.573,2.4926
TYK2,1.143,1.5299,1.1932,1.2911,0.7209,0.6979
SERPINA4,5.1635,1.5835,4.279,1.0714,5.5249,3.6065
EEF1D,0.4835,0.8321,0.5341,1.0345,0.5604,0.7352
MARCKS,0.903,20.7902,1.0925,31.5412,2.6194,5.3475
AQP1,0.8612,0.13,0.8788,0.2058,0.6939,0.3851
GNA11,0.2255,3.8359,0.3085,4.0525,0.3618,1.5144
PBLD,0.0769,0.0962,0.1098,0.0427,0.3092,0.0968
ERP29,0.2392,0.2238,0.0668,0.3932,0.2819,0.1219
PRDX6,13.5894,24.3476,19.2568,22.0536,21.5434,21.222
BLVRB,0.8193,1.7557,0.8335,2.2506,0.7227,1.5075
PRDX5,1.1355,2.8563,1.4322,3.3743,0.8236,2.157
PRDX3,0.6887,0.3126,0.216,0.3438,0.3782,0.3067
ATP5F1D,0.1921,0.0484,0.1163,0.0341,0.2575,0.0453
RPL12,3.1556,1.0239,2.0037,1.6447,0.9897,1.6534
ECHS1,0.2075,0.0392,0.1059,0.0769,0.3813,0.1375
CMPK1,0.1352,0.903,0.1662,1.216,0.6025,0.5586
PEBP1,0.4285,1.5999,0.4704,2.6651,0.572,0.9568
PDIA3,0.827,1.9256,0.9306,3.9412,1.0241,1.5695
PPP2R1A,1.6319,3.2107,2.1476,3.1396,1.6866,2.5911
CDC27,0.5289,0.016,0.4176,0.0854,0.3035,0.0798
FCER1G,1.7412,0.2457,2.5612,0.1658,0.1781,0.9118
TM4SF1,0.0604,1.0504,0.2092,0.3322,0.517,0.1341
BDKRB2,0.1423,0.6504,0.3927,0.5035,0.5085,0.1777
NMT1,0.6835,0.4381,0.6987,0.4783,0.2995,0.3508
HMOX2,0.3146,0.4003,0.3207,0.5469,0.1971,0.3016
ADSS2,0.7091,0.3151,0.4548,0.4249,0.4155,0.4094
AXL,2.2123,0.2912,1.5395,0.1963,1.234,0.9054
LRPAP1,0.4709,0.0502,0.1231,0.149,0.057,0.1305
TSPO,0.199,0.2417,0.3841,0.1854,0.3371,0.1951
ADSL,0.3508,0.3216,0.3377,0.3776,0.51,0.2349
CLIP1,0.448,0.1463,0.4427,0.1575,0.3318,0.1499
SRI,4.0696,5.2572,3.0616,9.3368,1.575,3.2624
GSTT1,0.2,0.0737,0.1964,0.0777,0.2413,0.0569
SERPINB1,0.2802,0.2135,0.2162,0.2379,0.2581,0.2563
SLC7A1,1.6293,13.1485,1.7195,9.9835,1.4687,4.924
ALDH1B1,1.32,0.2841,1.282,0.1822,1.5552,0.9659
NTSR1,0.3382,0.3984,0.2697,0.2944,0.5223,0.1762
SDHA,0.0755,0.0855,0.1208,0.026,0.2827,0.1005
CORO1A,2.9237,0.7872,2.6411,0.6381,1.7976,2.1544
GDI1,0.4489,1.71,0.5979,2.465,0.5815,1.0122
MAT2A,0.3622,0.5451,0.2375,0.7355,0.706,0.4104
PRKAR2B,0.5551,0.2185,0.6264,0.1086,0.7113,0.6498
SDC4,1.3856,4.6887,1.2183,3.335,1.4739,0.6685
TIA1,0.3086,0.0989,0.2526,0.0413,0.1913,0.1592
SLC6A6,0.4203,1.9043,0.2182,1.7438,0.2416,0.818
DNAJA1,0.7445,1.3782,0.7195,1.392,0.4558,0.8495
AKT1,0.3191,0.3402,0.3214,0.4664,0.4027,0.2778
AKT2,0.4144,0.6257,0.1488,0.643,0.4035,0.3213
ATIC,1.8401,2.5915,2.1764,2.833,2.1444,2.2526
HNRNPH3,0.1618,0.0814,0.1544,0.0454,0.2866,0.0996
HNRNPH1,0.9332,0.3673,0.597,0.2014,0.6026,0.337
CASP14,1.2075,0.9311,1.2354,0.1975,1.3344,0.5165
YWHAB,1.2849,10.431,1.5811,11.4285,1.3154,4.4246
SFN,6.7481,26.5557,7.5902,25.9514,6.6527,14.4999
STIP1,0.3107,1.4438,0.3202,1.5375,0.6354,0.6267
S100A11,3.2604,32.5099,4.2442,44.4114,4.4666,11.2176
L1CAM,34.3106,18.0574,30.8037,15.0516,20.4475,15.2873
PRDX2,1.9321,3.1177,2.2182,3.5388,1.4672,2.0976
ARRB2,0.6846,0.116,0.554,0.0373,0.7263,0.2777
DCTD,0.2548,0.1691,0.4078,0.2579,0.4359,0.2227
PYCR1,0.2801,0.0608,0.0956,0.0587,0.2235,0.0771
SLC8A1,0.442,1.0356,0.5329,0.9533,0.3166,0.4383
GBP1,0.3611,0.4949,0.2484,0.6147,0.1483,0.2895
STX2,0.3958,1.2994,0.4584,1.5255,0.6226,0.6837
CTH,0.3869,0.1581,0.1332,0.272,0.217,0.4068
ICAM3,0.4976,0.133,0.3649,0.0587,0.4536,0.2042
RPL9,0.6845,0.9826,0.5571,1.2215,0.8134,0.8969
ACSL1,0.272,0.6136,0.4904,0.5312,0.7546,0.2793
CDH5,0.5273,0.0837,0.4312,0.0106,1.3055,0.153
KIF5B,0.4426,1.1655,0.5522,1.2768,0.7721,0.9019
CSTF2,0.1124,0.0495,0.1315,0.0496,0.2467,0.0558
ABCC1,0.6149,4.4113,0.7842,4.8693,0.6811,1.9209
MAN1A1,0.9036,0.4674,1.3137,0.4298,1.7889,1.1828
SDC2,0.4908,2.1339,0.3152,1.6182,0.1194,0.1345
SHMT2,1.7573,0.5749,1.6582,0.5896,0.7805,1.211
HSPA1L,0.3581,0.5484,0.4829,1.0811,0.5558,0.1943
HSPA4,0.6848,1.2811,0.7471,1.762,1.3121,0.9345
MPI,0.3577,0.2134,0.3188,0.248,0.3356,0.1458
GPC1,1.0715,0.8085,1.098,1.2824,3.5874,0.6222
PFN2,1.5834,2.2717,1.2447,1.9268,1.8307,1.6242
CTNNA1,1.1865,8.6043,1.3239,10.5046,1.0864,3.6695
CTNNB1,1.961,15.0986,2.3497,17.1589,2.6548,6.9031
SERPINB6,0.6541,0.9906,0.3978,1.2348,3.1605,0.5693
NF2,0.0722,0.5993,0.2252,0.6624,0.359,0.2573
RDX,0.2536,1.7313,0.1545,2.894,0.3035,0.6562
RPL22,0.425,1.138,0.5409,1.1449,0.4588,0.4944
SPR,0.2521,0.1064,0.111,0.1175,0.3154,0.0414
HRH1,0.7927,0.8188,0.3078,0.848,0.5679,0.3045
PTGER4,0.4393,0.1811,0.1771,0.1229,0.2829,0.0518
THBS2,0.7214,0.0959,0.5331,0.0451,2.7237,0.2446
CBS,0.3304,0.6713,0.4599,0.8511,0.7537,0.4068
KRT9,152.4213,81.5583,128.202,18.1814,68.5296,64.0246
SAA4,60.0211,5.6747,40.3714,3.4336,31.4986,23.2088
FBN1,3.9976,0.2078,3.9065,0.1408,13.5459,1.7139
FBN2,1.9714,1.3936,2.0247,0.0472,3.7551,0.9485
AGL,0.4585,0.1535,0.7434,0.0977,0.3718,0.7177
MYH9,16.8096,5.3523,18.8707,6.1731,23.0425,11.6922
MYH10,0.3019,0.1012,0.2024,0.0837,0.3534,0.1542
COPB2,0.5113,1.1099,0.8904,1.2538,1.0876,0.9811
ACTN2,0.1645,0.4227,0.1789,0.3667,1.2294,0.2917
ADD1,1.1568,1.0871,0.1952,1.4669,0.4386,0.567
BSG,3.583,49.0975,4.8931,49.8972,5.461,18.2412
TIMP3,8.57,1.6958,7.6762,1.7941,4.1269,6.1995
FUS,0.3007,0.1061,0.4668,0.2041,0.4087,0.1531
GLRX,0.313,0.5314,0.4098,1.333,0.3162,0.3073
PPM1A,0.1988,0.126,0.1804,0.2196,0.0814,0.2215
IGFALS,15.4059,1.1373,11.7821,0.8111,8.6958,7.6972
KRT2,18.1051,51.5591,32.5305,31.3454,16.0753,7.8031
HMGCL,0.2378,0.0727,0.2689,0.0829,0.174,0.1597
PSMC2,1.1388,1.6401,1.6785,1.7685,1.6381,1.3762
SLC16A2,0.3692,0.9875,0.2829,1.3485,0.4256,0.2822
GGT5,0.5495,1.0617,0.3735,1.0992,0.7203,0.5256
GJC1,0.057,0.1806,0.1895,0.1777,0.3848,0.1749
ARL2,0.5715,0.3876,0.8602,0.3568,0.386,0.4173
ARL3,0.6572,2.0034,0.4996,2.2038,0.5169,0.737
MAP2K2,0.4525,0.4042,0.4069,0.4006,0.261,0.2802
ATP6V1E1,1.4039,0.4511,1.3428,0.903,0.4643,0.7184
RPL4,0.5177,1.2412,0.294,1.3537,0.6384,0.7251
PGM1,1.8069,1.5965,1.4988,1.7949,1.3258,1.4296
PPP1CC,0.4512,0.5252,0.2052,0.527,0.3429,0.2398
BMPR1A,0.2268,0.2755,0.5012,0.1301,0.3259,0.1126
TGFBR1,0.2844,0.2718,0.3001,0.1745,0.3041,0.1194
GNL1,0.9794,0.149,0.0317,0.1637,0.398,0.0649
LTBR,3.4934,0.8142,0.0958,0.8111,0.0935,0.233
SERPINF1,4.0818,0.108,3.3504,0.0632,9.8672,1.4669
DLST,5.2014,3.1677,7.4784,1.5407,10.5176,3.832
GMPR,0.7859,0.0568,0.6411,0.1577,0.4043,0.435
